source,target,value
2023,1598,7.0
2024,1598,15.0
2025,1598,5.0
2026,1598,10.0
2027,1598,10.0
2028,1598,14.0
2030,1598,4.0
2031,1608,80.0
2037,3060,115.0
2039,1921,5.0
2041,3003,8.0
2043,2769,4.0
2045,2052,178.0
2045,2995,22.0
2046,3003,36.0
2047,940,217.0
2048,1963,448.0
2049,2052,75.0
2050,2769,5.0
2051,2995,386.0
2055,1963,481.0
2056,2052,128.0
2058,2682,49.0
2058,2995,266.0
2064,1921,16.0
2091,2258,36.0
2093,2258,22.0
2096,3060,246.0
2098,2097,183.0
2099,1475,611.0
2101,3060,293.0
2103,758,171.0
2106,571,520.0
2106,2552,299.0
2107,761,1300.0
2108,571,653.0
2108,3092,279.0
2111,3092,907.0
2112,2552,748.0
2113,1407,437.0
2122,1073,9.0
2123,1093,17.0
2126,2769,34.0
2133,758,107.0
2133,981,206.0
2134,930,7.0
2134,3106,553.0
2135,820,25.0
2144,568,231.0
2144,930,186.0
2145,1093,1.0
2146,767,48.0
2146,2977,170.0
2147,1855,637.0
2153,2564,18.0
2154,2564,17.0
2157,569,60.0
2158,767,232.0
2159,1619,26.0
2165,2977,405.0
2173,71,378.0
2192,1500,323.0
2193,569,60.0
2197,1656,224.0
2203,2208,106.0
2205,2208,743.0
2205,3103,180.0
2207,3103,732.0
2225,2820,16.0
2228,2820,11.0
2229,2820,4.0
2231,2820,6.0
2256,2258,7.0
2275,1514,36.0
2275,2618,161.0
2284,998,167.0
2285,380,326.0
2287,1608,87.0
2288,737,108.0
2289,737,11.0
2292,737,6.0
2293,2296,113.0
2295,2296,26.0
2295,2299,79.0
2297,737,4.0
2298,2299,231.0
2300,0,310.0
2302,691,30.0
2303,691,15.0
2304,1089,77.0
2305,808,33.0
2308,900,78.0
2311,934,384.0
2312,820,42.0
2313,821,30.0
2314,820,115.0
2315,926,236.0
2316,582,367.0
2317,2769,20.0
2318,940,451.0
2319,3003,7.0
2381,1598,16.0
2382,758,123.0
2385,2427,1.0
2417,2427,7.0
2418,2427,11.0
2419,2427,8.0
2420,2427,7.0
2421,2427,11.0
2422,2427,9.0
2423,2427,9.0
2425,2427,15.0
2426,2427,2.0
2429,2427,63.0
