,area_accessibility
1010,31.957645919533988
1011,33.298083165608254
1012,31.28139607726232
1013,31.32681410778782
1014,31.132549587267988
1015,31.4871341853094
1016,31.995345074494537
1017,31.748587290785295
1018,30.784655411203666
1019,31.649020202547636
1020,30.66195287600633
1021,31.715789657192637
1022,31.794989612316613
1023,31.777295419444442
1024,31.786352594347353
1025,31.201981061036296
1026,31.115377108633183
1027,32.05370624458116
1028,31.36647068695446
1029,32.22335562021595
1030,31.80403040430347
1031,31.598041288442065
1032,31.713378577403255
1033,31.14921849533393
1034,31.807542177358947
1035,31.560048451714803
1036,31.940580014094763
1037,32.294614679485754
1038,31.835615107177635
1039,31.820842453489192
1040,31.646403398582613
1041,31.89799471560757
1042,31.71728573311014
1043,32.04108760722641
1044,31.702663883291805
1045,31.60124681231546
1046,31.097738485065175
1047,31.88067060590812
1048,31.69299714893595
1049,31.92749295823648
1050,31.405028909582963
1051,32.12510897494527
1052,31.8679158890123
1053,31.541642871933817
1054,32.19803536762589
1055,33.661613178253226
1056,33.550519304514836
1057,31.299786833853883
1058,30.96252925638685
1059,31.813532251767114
1060,37.19016773014053
1061,34.617651969116295
1062,34.091595322491656
1063,32.95652050164827
1064,34.704829653774475
1065,37.24919970866488
1066,33.78244406925087
1067,37.22920464991799
1068,34.68075407984825
1069,34.84609854009572
1070,34.99765611796298
1071,35.421676197474326
1072,33.72290386557418
1073,33.83426027242108
1074,33.47539018572475
1075,33.67422625167714
1076,32.67369862093737
1077,33.38229249982445
1078,33.00202526904461
1079,32.712052309950685
1080,32.75505101894131
1081,33.553347239570314
1082,33.8221247665287
1083,34.18568110602248
1084,33.52135305619673
1085,33.41916040260602
1086,33.7162454067316
1087,32.71530554155404
1088,33.78591797344633
1089,33.121814653177125
1090,33.30078530187099
1091,33.54775057096101
1092,33.29857298960565
1093,33.257030995682065
1094,34.45554294316563
1095,33.65967229218754
1096,33.41705029946295
1097,33.2621724950049
1098,33.64089184767637
1099,33.577577555242954
1100,32.67035361328487
1101,33.85925640168922
1102,33.41534636181855
1103,34.16659124532847
1104,34.33717906592091
1105,33.41051641732142
1106,32.58261202559882
1107,32.92359031338072
1108,33.65530628711987
1109,32.00298373520502
1110,41.55654699802391
1111,34.753694718178785
1112,34.56979241229436
1113,37.37323285601264
1114,36.848121182634095
1115,35.17876921920979
1116,35.24115145607602
1117,40.56963436884258
1118,39.540354032015124
1119,37.249155545271286
1120,35.54686959105198
1121,33.14705614374949
1122,32.969980707156544
1123,33.44488832039786
1124,33.841341870293256
1125,33.5009980533554
1126,32.098318669875965
1127,33.75474680304085
1128,33.198214948100514
1129,33.04016432000855
1130,33.85820838735525
1131,33.459946021721066
1132,33.65441564354466
1133,33.04687976568771
1134,34.44233223729636
1135,32.690749079700254
1136,33.25978787420642
1137,33.178966072786594
1138,33.737740554307784
1139,33.81101983453667
1140,33.5237303027599
1141,32.92465663224506
1142,34.44210748129956
1143,34.407448396072745
1144,31.993120094017012
1145,33.17110134220288
1146,32.60828293371423
1147,32.83851071499969
1148,35.186197308540095
1149,35.31956959852399
1150,34.86665150259292
1151,35.18556394930215
1152,35.09793664287019
1153,34.47661415349479
1154,34.45639581826127
1155,34.64680559577555
1156,34.19371577327624
1157,33.69547765027937
1158,34.19493856442607
1159,34.78700550026156
1160,35.49656704688673
1161,35.4917434188228
1162,35.53538878468713
1163,35.46727530279519
1164,35.53383871114016
1165,34.12542454095229
1166,34.140526620504076
1167,34.58824839566752
1168,34.62603420278658
1169,34.5354716739182
1170,33.56779551859545
1171,34.21602732971972
1172,34.14520651473832
1173,35.51941679813758
1174,32.57430405499317
1175,36.47069711241707
1176,33.019081170095234
1177,33.945233668820805
1178,33.41609043052415
1179,33.547112690572526
1180,32.5879739102637
1181,33.115102235986896
1182,32.85510702262452
1183,33.646750003821374
1184,34.00370330920124
1185,33.69385036392164
1186,32.689445042679196
1187,35.166186622450034
1188,33.10005210898752
1189,38.075447459137784
1190,36.052818084448596
1191,36.35295694223508
1192,51.5541217798025
1193,38.77427972067512
1194,36.45855628988702
1195,34.82264538168118
1196,36.8012789734099
1197,37.895102355453
1198,39.49117499736753
1199,37.56140255027587
1200,40.288884507790605
1201,40.899589105945125
1202,37.83615264162216
1203,39.89176874444324
1204,37.58553154648077
1205,38.13132721089037
1206,36.61358593276296
1207,36.67012360291733
1208,38.734099224127895
1209,38.91776695591363
1210,37.802797118296205
1211,39.78526309017586
1212,40.07148072118444
1213,36.80128022183015
1214,38.95128880728898
1215,39.839512664221324
1216,37.35025659634283
1217,40.720067250266005
1218,37.58562832530331
1219,37.24432977774248
1220,38.073317845903844
1221,36.50263199778029
1222,36.872955780761174
1223,36.88167981147588
1224,36.84486688807147
1225,46.683568257712956
1226,43.27058797441244
1227,39.76128267645051
1228,48.615624969933236
1229,39.69558336631067
1230,39.074701031708685
1231,44.29046578560019
1232,37.13247319842485
1233,36.60567945424076
1234,33.78460909266537
1235,37.50437134578496
1236,33.82091575159537
1237,34.65925180769765
1238,36.34153475617855
1239,34.7511944504303
1240,36.29494351138599
1241,35.387408134863364
1242,34.762902086165134
1243,34.624668794284716
1244,36.37828643796039
1245,36.206453086302616
1246,35.92036756355229
1247,35.993970877098754
1248,37.00291857147752
1249,38.28587005816457
1250,36.81940413033537
1251,37.09813273122758
1252,38.13994823530838
1253,37.80501162895865
1254,36.48557317927281
1255,37.3485340007728
1256,36.31691047317434
1257,37.62582635672466
1258,37.04624826636768
1259,36.82619106100562
1260,36.15527755116427
1261,36.07310926428855
1262,35.64239983569741
1263,36.473259813369964
1264,36.24486076471565
1265,36.545434986467335
1266,35.65470228448505
1267,35.601812450829684
1268,35.911039535836
1269,36.218592432273766
1270,36.144044359473334
1271,36.4845318182637
1272,36.46394539843709
1273,36.61522354590439
1274,36.458391661088065
1275,36.498615003849245
1276,36.370171610194724
1277,36.229470806619965
1278,36.067752277628855
1279,35.24740636336374
1280,35.89213929821194
1281,35.02434285761281
